,SYMBOL,tp,wp,mp,tmp,smp,yp
126,BLUESTARCO,1210.4,1236.15,1155.6,353.1,920.1,1052.5
127,BODALCHEM,82.1,80.85,86.9,30.8,141.6,125.9
128,BOMDYEING,84.75,81.6,99.95,63.25,103.85,96.55
129,BOSCHLTD,16446.2,16488.6,15865.35,19386.8,17659.65,18565.75
130,BPCL,309.75,303.65,307.4,850.7,462.5,427.7
131,BRIGADE,511.55,499.55,520.55,158.3,443.35,502.4
132,BRITANNIA,4139.25,3766.55,3785.65,3082.0,3837.35,3687.95
133,BSL,147.2,138.85,151.6,45.95,81.1,94.5
134,BSLGOLDETF,46.16,45.5,46.83,2418.0,4317.75,4449.8
135,BSLNIFTY,20.46,20.19,19.46,90.95,204.81,201.17
136,BYKE,45.75,41.6,44.35,164.6,35.0,37.6
137,CAMLINFINE,153.05,156.9,114.95,99.0,185.5,180.15
138,CANBK,309.45,290.4,229.05,279.8,198.95,230.8
139,CANFINHOME,521.8,524.35,500.7,913.75,701.55,650.2
140,CAPLIPOINT,737.65,724.85,734.7,1442.25,913.6,862.6
141,CARBORUNIV,841.2,845.85,899.85,159.6,899.4,916.1
142,CAREERP,128.05,130.05,132.25,126.25,154.9,150.95
143,CARERATING,512.6,489.5,520.35,1119.8,701.3,652.65
144,CASTROLIND,126.75,124.3,111.9,442.55,145.1,136.3
145,CCL,518.0,500.85,506.5,235.2,406.9,389.35
146,CEATLTD,1616.7,1541.95,1570.4,1281.95,1361.35,1259.1
147,CELEBRITY,21.1,22.25,20.75,11.4,10.55,10.1
148,CENTENKA,430.8,425.1,465.7,202.05,457.2,430.95
149,CENTRALBK,22.6,20.35,20.0,83.05,23.6,21.85
150,CENTUM,632.4,656.95,523.3,656.05,549.5,564.9
151,CENTURYPLY,587.7,598.1,630.15,155.65,550.9,679.4
152,CENTURYTEX,820.7,856.2,830.8,517.6,936.2,869.55
153,CERA,5482.45,5575.35,5508.05,2020.65,6201.0,5414.9
154,CEREBRAINT,40.55,34.4,39.75,13.0,54.1,75.45
155,CESC,75.75,76.75,79.55,516.85,98.35,90.6
156,CGCL,753.7,749.65,730.5,136.85,517.05,521.85
157,CHAMBLFERT,310.0,326.4,320.6,58.65,385.55,345.3
158,CHENNPETRO,209.05,208.7,247.4,222.9,138.15,119.55
159,CHOLAFIN,748.35,709.35,737.15,651.35,598.75,662.4
160,CIGNITITEC,588.95,624.05,540.0,378.5,603.95,658.6
161,CINELINE,117.25,102.1,118.05,12.95,127.9,108.5
162,CINEVISTA,12.35,12.4,13.2,3.1,15.9,16.5
163,CIPLA,1130.9,1167.4,1130.5,636.05,903.75,915.95
164,CLNINDIA,418.7,412.05,426.25,776.05,598.8,541.2
165,COALINDIA,249.55,245.95,229.7,327.6,185.3,166.95
166,COLPAL,1587.85,1631.75,1581.2,961.5,1667.85,1522.9
167,COMPUSOFT,22.25,22.3,22.8,7.95,16.5,15.9
168,CONCOR,784.2,798.0,698.7,1485.05,684.65,687.2
169,CONSOFINVT,135.05,135.05,141.1,69.1,165.85,150.3
170,CORDSCABLE,62.7,68.6,64.25,37.95,57.2,54.0
171,COROMANDEL,946.1,962.35,997.45,154.8,857.35,790.9
172,COUNCODOS,3.95,3.95,3.95,2.45,3.4,3.4
173,CPSEETF,38.86,38.0,36.25,20.81,32.55,30.14
174,CREST,171.95,177.35,164.45,39.9,123.4,129.5
175,CRISIL,2881.25,2997.8,3169.1,1833.25,2977.0,3175.35
176,CTE,65.6,65.9,69.4,108.65,62.65,60.8
177,CUB,196.25,186.0,179.0,91.95,171.0,163.85
178,CUMMINSIND,1335.15,1347.9,1238.75,1095.4,910.2,922.85
179,CYBERMEDIA,18.5,17.5,18.6,9.9,9.95,9.65
180,CYBERTECH,134.15,134.65,144.1,42.95,173.5,159.85
