,SYMBOL,tp,wp,mp,tmp,smp,yp
807,TAKE,24.45,23.55,25.3,156.45,51.05,48.15
808,TALBROAUTO,487.55,473.45,494.75,113.95,287.55,288.15
809,TANLA,764.6,742.05,811.5,24.7,951.45,1275.15
810,TARAPUR,4.35,4.6,4.75,5.4,3.75,4.15
811,TARMAT,52.3,50.55,55.3,22.65,67.05,65.15
812,TATACHEM,1122.35,1132.8,1181.8,381.75,1094.4,935.85
813,TATACOFFEE,220.15,217.0,221.9,92.05,234.15,220.7
814,TATACOMM,1302.5,1258.95,1217.9,413.6,1460.25,1225.75
815,TATAELXSI,6976.45,6995.85,8550.05,1879.95,6318.3,6552.75
816,TATAINVEST,2393.8,2346.35,2473.7,539.85,1666.05,1566.05
817,TATAMETALI,759.5,735.35,749.7,100.2,1084.3,969.35
818,TATAMOTORS,435.0,412.75,412.15,298.6,509.6,507.05
819,TATAMTRDVR,240.95,235.2,200.0,216.45,269.75,285.0
820,TATAPOWER,229.15,226.0,222.5,64.95,257.3,239.85
821,TATASTEEL,106.7,101.55,103.3,212.6,1411.05,1287.25
822,TBZ,79.3,80.05,84.2,115.55,91.6,86.05
823,TCI,680.75,714.7,802.7,241.9,473.75,722.3
824,TCIDEVELOP,389.35,390.0,387.3,272.35,357.5,361.45
825,TCS,3233.7,3193.15,3064.9,2588.05,3647.15,3526.05
826,TDPOWERSYS,111.0,124.1,626.1,300.85,374.7,357.55
827,TECHM,1053.5,1063.4,1023.85,557.35,1479.65,1585.0
828,TEXINFRA,60.0,62.8,61.0,32.0,58.15,60.4
829,TEXMOPIPES,64.0,62.35,63.6,13.75,51.9,53.85
830,TEXRAIL,51.45,49.1,50.65,114.9,36.85,31.7
831,TFCILTD,83.65,86.05,69.65,49.75,72.7,68.7
832,TGBHOTELS,11.05,12.2,11.3,81.5,11.75,9.9
833,THANGAMAYL,1002.75,975.55,1319.25,164.0,1355.55,1284.25
834,THERMAX,2346.45,2171.95,2184.7,851.8,1389.0,1533.35
835,THOMASCOOK,74.1,75.4,78.6,202.95,80.05,77.45
836,TIDEWATER,1040.6,1018.35,1046.9,17804.15,1784.4,1721.6
837,TIIL,782.6,775.05,775.15,187.6,909.05,953.45
838,TIMETECHNO,106.25,102.6,109.05,52.65,74.3,75.3
839,TIMKEN,2700.75,3000.55,3149.25,600.15,1792.35,1994.45
840,TINPLATE,316.05,304.8,310.6,59.75,335.0,307.05
841,TIRUMALCHM,191.55,187.5,219.75,221.7,276.65,256.15
842,TITAN,2741.55,2761.5,2730.5,317.85,2588.8,2539.5
843,TNPETRO,92.9,95.55,101.9,19.95,129.3,110.65
844,TNPL,268.55,266.7,230.5,182.25,139.55,134.85
845,TOKYOPLAST,103.7,100.3,97.5,26.25,102.3,101.9
846,TORNTPHARM,1681.35,1650.0,1572.4,1502.25,3111.75,2791.35
847,TORNTPOWER,510.7,504.35,490.85,178.15,521.3,539.3
848,TPLPLASTEH,34.2,35.3,207.15,204.95,175.75,189.4
849,TRENT,1507.9,1527.9,1450.75,1303.4,1154.3,1149.15
850,TRIDENT,37.35,35.25,38.2,41.35,40.35,39.65
851,TRIGYN,101.6,100.1,106.35,39.3,130.0,119.3
852,TRIL,58.85,60.7,57.45,178.55,30.8,31.2
853,TRITURBINE,288.1,279.8,253.55,106.4,165.1,210.95
854,TRIVENI,276.75,251.45,273.2,25.85,213.45,215.95
855,TTKPRESTIG,901.5,931.3,996.75,3754.95,8822.65,11199.85
856,TTL,95.15,82.8,92.6,51.3,83.45,84.05
857,TV18BRDCST,37.2,34.95,39.1,35.25,46.75,46.85
858,TVSELECT,276.35,280.55,257.4,101.7,175.15,175.15
859,TVSMOTOR,1112.75,1146.05,1084.85,230.05,585.9,729.05
860,TVSSRICHAK,2595.35,2455.05,2460.7,2588.85,2496.0,2351.25
861,TVTODAY,281.3,277.05,274.95,275.4,300.1,349.4
862,UBL,1651.55,1652.85,1726.8,881.65,1676.7,1734.8
863,UCALFUEL,135.85,130.4,133.3,97.7,157.55,153.2
864,UCOBANK,15.15,13.2,11.9,46.35,14.65,14.1
865,UFLEX,686.6,697.55,745.65,157.95,628.25,521.8
866,UFO,105.75,112.4,119.75,571.85,104.25,119.95
867,ULTRACEMCO,6973.5,6714.95,6203.5,2673.4,7399.3,8080.75
868,UNICHEMLAB,429.75,411.05,390.8,307.05,261.95,206.75
869,UNIENTER,136.5,133.75,133.3,36.2,127.1,126.35
870,UNIONBANK,58.55,53.9,44.6,175.2,48.9,50.0
871,UNITEDTEA,292.15,297.65,305.55,322.3,404.65,371.65
872,UPL,748.45,730.2,690.45,458.3,751.1,769.55
873,USHAMART,142.2,141.2,127.95,14.2,91.6,95.7
874,UTINIFTETF,1942.34,1910.1,1841.54,792.52,1947.1,1894.28
875,UTISENSETF,647.52,642.9,617.89,259.5,649.01,635.83
876,UTTAMSUGAR,244.4,238.5,261.0,11.1,194.75,181.8
877,VADILALIND,2137.5,2227.45,2594.15,572.9,1118.6,981.75
878,VAIBHAVGBL,344.1,352.25,364.8,376.6,727.05,542.8
879,VAKRANGEE,33.55,31.5,38.8,128.05,43.5,37.3
880,VARDHACRLC,53.55,52.6,54.7,28.45,67.7,52.6
881,VARDMNPOLY,19.5,20.4,20.5,40.25,22.9,28.15
882,VASCONEQ,31.3,27.95,28.7,34.65,27.15,26.15
883,VASWANI,20.35,20.4,21.2,2.4,18.8,16.7
884,VEDL,306.55,280.8,291.9,84.7,374.75,328.2
885,VENKEYS,2018.35,1936.95,2066.5,544.65,3105.45,2774.95
886,VENUSREM,210.7,210.8,209.0,120.95,489.85,482.7
887,VESUVIUS,1565.8,1501.05,1568.9,663.65,1188.9,1179.5
888,VETO,127.4,115.45,110.1,76.7,116.25,113.55
889,VGUARD,259.0,256.0,250.5,902.1,261.8,253.0
890,VHL,3035.75,3032.55,3162.05,1115.0,3171.25,3299.8
891,VIMTALABS,481.1,425.6,346.3,66.45,306.55,355.45
892,VINATIORGA,1981.45,1907.35,2071.25,455.3,2074.5,2018.7
893,VINDHYATEL,1382.1,1336.1,1330.95,715.05,1190.95,1081.55
894,VIPIND,724.95,747.1,706.85,80.7,572.5,621.35
895,VIPULLTD,11.15,11.55,12.25,55.95,29.8,27.65
896,VISAKAIND,481.65,539.65,585.7,129.5,679.3,609.15
897,VIVIDHA,1.25,1.25,1.3,63.55,0.75,0.85
898,VIVIMEDLAB,9.75,9.05,10.15,344.85,21.2,19.85
899,VLSFINANCE,140.65,131.5,138.1,37.2,197.75,203.75
900,VMART,2938.6,3010.2,2841.0,499.05,4496.6,4340.5
901,VOLTAMP,2832.9,2724.55,2628.7,668.15,1475.5,1864.05
902,VOLTAS,834.55,876.2,910.35,268.3,1337.7,1264.35
903,VRLLOG,605.75,606.4,611.2,392.5,381.15,486.9
904,VSSL,261.25,262.05,250.55,33.35,265.7,262.5
905,VSTIND,3621.65,3501.55,3344.8,1604.6,3804.3,3325.5
906,VSTTILLERS,2342.3,2239.4,2183.3,1316.5,3137.6,2882.1
907,VTL,348.75,336.55,337.7,934.9,2033.95,2022.6
908,WABAG,270.85,263.8,278.4,665.0,341.95,336.5
909,WEBELSOLAR,93.65,91.75,100.75,16.75,79.8,77.5
910,WEIZMANIND,119.7,110.25,87.45,14.45,58.15,55.25
911,WELCORP,228.55,222.3,274.0,114.8,149.35,147.95
912,WELENT,130.9,128.0,129.0,54.25,100.4,96.3
913,WELINV,280.95,282.6,293.4,50.3,319.6,294.3
914,WELSPUNIND,80.1,78.35,78.35,845.15,160.0,140.1
915,WENDT,7984.3,7471.05,7475.55,1992.85,4426.4,4632.7
916,WHEELS,618.85,629.0,632.55,1145.6,773.55,711.05
917,WHIRLPOOL,1527.65,1575.45,1646.45,655.35,2436.1,2276.95
918,WINDMACHIN,47.55,40.2,37.7,23.25,32.1,27.85
919,WIPRO,391.5,386.55,408.1,597.85,709.75,660.05
920,WOCKPHARMA,238.95,233.45,253.55,1525.75,482.65,451.95
921,WONDERLA,362.1,344.55,376.1,290.6,240.0,243.05
922,WSTCSTPAPR,592.4,609.25,505.35,60.05,271.2,258.85
923,XCHANGING,76.25,78.1,80.45,26.0,113.85,106.0
924,XPROINDIA,746.65,734.95,742.15,46.55,668.9,759.6
925,YESBANK,16.55,15.55,16.55,729.7,13.95,13.15
926,ZEEL,264.4,262.45,281.8,392.45,310.85,312.7
927,ZEELEARN,7.1,7.15,7.45,31.7,14.25,13.1
928,ZENSARTECH,216.7,223.4,225.8,807.95,502.55,473.2
929,ZENTEC,199.1,202.65,209.2,77.7,237.85,215.45
930,ZUARI,160.3,180.55,182.4,150.05,124.65,114.9
931,ZYDUSWELL,1731.4,1758.4,1741.25,812.95,2304.3,2057.25
