,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
1061,SPARC,264.05,265.35,292.95,275.8,224.4,173.8,279.38430966153976
514,IIFLWAM,1529.2,1596.8,1656.2,1509.05,1117.55,990.7,279.1962716833341
922,RADAAN,1.35,1.35,1.4,1.3,1.05,0.95,279.1541353383459
1217,VBL,949.65,921.6,904.65,806.65,991.7,756.2,279.1486961228027
107,AXISCADES,82.05,85.0,85.1,71.85,63.35,55.65,279.1393743582616
212,CHOLAHLDNG,700.2,700.0,711.85,647.0,609.55,502.6,279.110762172546
125,BANCOINDIA,185.05,200.7,191.85,180.1,165.3,120.35,278.95621338206104
305,EMKAY,110.3,121.9,124.3,121.35,77.65,66.05,278.8937930320668
864,PENIND,28.25,29.8,29.6,29.7,20.1,18.7,278.88911515416646
494,ICICIPRULI,640.15,642.05,659.7,666.2,544.9,453.25,278.8400402757814
1018,SHARIABEES,444.87,443.37,456.48,434.57,374.0,318.62,278.80488231344714
236,CTE,56.85,66.5,58.9,53.35,32.75,34.75,278.6944234571111
145,BFUTILITIE,410.4,444.05,437.7,394.1,311.3,261.9,278.66426079107066
684,LUMAXTECH,142.75,147.05,139.5,140.5,145.5,103.7,278.64945505931837
683,LUMAXIND,1483.05,1354.65,1411.1,1429.65,1587.3,1293.75,278.5781608508441
751,MOIL,172.75,176.3,167.25,165.8,168.25,128.25,278.49963433403474
437,HDFC,2925.4,2908.85,2822.9,2722.05,2518.05,2250.8,278.31838702198803
558,IVZINNIFTY,1944.0,1948.75,2000.4,1796.9,1640.55,1390.0,278.1252363276243
771,MUTHOOTFIN,1603.0,1686.45,1552.4,1457.95,1265.2,1156.0,278.11934122798004
708,MANAKSIA,64.05,68.6,66.9,67.65,62.35,42.25,278.0717277597482
109,AXISNIFTY,187.0,188.01,193.29,172.67,157.7,132.83,278.04197712061944
304,EMAMIREAL,66.5,71.9,66.1,65.85,48.85,45.55,277.9299171852102
515,IMPAL,760.45,780.75,781.1,759.05,677.85,532.2,277.8978069429522
772,NACLIND,66.85,71.55,76.7,56.75,50.2,41.05,277.72576752075184
1012,SHALBY,149.1,148.25,167.1,186.3,161.3,100.15,277.64840751322265
176,BSLNIFTY,197.51,198.4,203.73,182.43,166.88,141.37,277.6160640680447
1171,TTKHLTCARE,658.9,664.75,675.5,670.1,595.55,472.3,277.58898628502874
1219,VENKEYS,2642.45,2783.4,3049.65,2461.65,2274.35,1641.05,277.5831720765767
490,ICICINF100,196.18,196.85,202.49,180.28,164.87,140.64,277.5241405634868
992,SBIETFQLTY,156.41,155.87,160.83,146.12,130.12,113.47,277.4707144297097
1016,SHARDACROP,334.85,330.55,314.15,303.6,347.5,271.55,277.38305600469346
642,KOTAKNIFTY,187.57,188.4,193.64,173.18,158.23,134.55,277.3517599279857
569,JAYSREETEA,103.1,105.7,107.8,105.65,101.85,71.5,277.34354765385984
491,ICICINIFTY,191.0,192.01,197.24,176.32,161.2,136.92,277.30007901028455
811,NIFTYBEES,192.14,193.25,198.41,177.32,162.1,137.76,277.2398952144413
