,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
159,BIRLAMONEY,60.6,63.15,63.4,70.4,45.8,42.2,5.535414431334091
639,KSL,371.45,379.3,383.65,436.4,367.05,215.65,5.533127244087798
1066,SUNFLAG,79.5,81.6,82.0,89.05,78.8,47.15,5.531525193323088
491,IDFCFIRSTB,50.55,52.85,47.35,49.75,56.85,31.65,5.52648130103024
685,MAHSCOOTER,4339.65,4549.1,4672.6,4348.5,3537.05,3064.95,5.5234750214606585
391,GPPL,111.05,109.65,107.65,107.4,92.95,90.0,5.506954074248265
908,RAMCOCEM,1070.15,1014.85,990.75,1073.85,976.85,837.05,5.5051756418524285
276,DPSCLTD,15.45,16.0,15.5,15.8,12.15,11.95,5.5047392623745175
328,FINEORG,3296.15,3443.9,3266.35,3024.25,3033.1,2426.4,5.501307282676627
1239,WONDERLA,226.7,234.65,238.45,241.9,181.65,162.25,5.499238198713325
796,NITCO,23.3,22.75,22.7,25.6,19.9,17.05,5.498186978550294
439,HESTERBIO,2439.1,2470.25,2459.5,2376.05,2173.2,1781.5,5.497112480597497
1046,SRIPIPES,196.6,195.45,208.45,235.95,190.6,116.95,5.494802891890447
907,RAMANEWS,19.0,19.15,19.6,23.1,15.65,12.7,5.494186179553744
939,RSSOFTWARE,32.4,33.6,34.65,35.65,28.75,20.8,5.4928353834104175
1062,SUNDARMFIN,2452.25,2454.75,2449.55,2583.55,2451.7,1590.3,5.491491252966172
16,ACCELYA,1190.55,1367.25,1263.4,1331.5,902.55,815.0,5.48713600077142
482,ICICIPRULI,626.2,622.65,667.8,669.75,564.55,417.7,5.4867471719439305
977,SELAN,147.15,151.25,151.55,154.5,129.1,101.45,5.486568732653739
31,AJANTPHARM,2208.35,2117.85,2260.4,2288.8,2001.1,1586.3,5.480262672037093
7,AARVI,56.45,59.75,60.3,69.45,48.0,35.1,5.478041194688707
341,GAEL,171.0,168.3,170.15,192.9,161.4,113.45,5.474259526141086
1147,TTKHLTCARE,657.45,643.1,667.5,736.7,590.85,452.5,5.4653304358874975
918,RECLTD,150.2,151.7,156.1,154.4,130.6,108.15,5.464002111403063
449,HINDZINC,315.45,323.2,306.15,319.65,296.5,224.65,5.461355531417609
34,ALANKIT,17.6,17.85,17.8,14.9,14.45,16.2,5.460379329065395
1001,SHRADHA,53.35,54.8,54.7,53.4,39.9,45.4,5.460126607259408
1063,SUNDARMHLD,78.3,80.8,75.8,85.9,74.45,52.45,5.458128857802578
428,HDFCBANK,1605.3,1652.75,1582.7,1465.3,1400.9,1307.65,5.454641517730542
957,SANDESH,771.3,768.9,780.8,895.7,720.8,503.35,5.454462956058357
1012,SIMPLEXINF,39.05,41.45,41.85,42.1,29.65,29.35,5.450272821193335
622,KOKUYOCMLN,69.25,64.3,67.45,72.8,56.15,59.65,5.449148051481007
334,FORCEMOT,1425.7,1474.25,1455.75,1518.05,1186.95,1048.5,5.446488917247615
1236,WINDMACHIN,28.25,29.6,30.5,37.45,29.65,15.2,5.446295612549996
935,ROSSELLIND,159.0,157.25,155.5,181.3,121.9,129.4,5.443732156941025
1017,SJVN,28.6,28.8,28.4,27.35,25.45,22.45,5.443515843901471
436,HERCULES,139.9,140.35,141.85,158.75,117.4,100.85,5.443167852742252
776,NESCO,609.1,614.05,600.35,620.15,491.95,501.35,5.441749002243958
69,APOLLOTYRE,220.65,219.05,224.25,225.45,213.6,153.45,5.44089328660815
694,MANAPPURAM,193.95,204.5,179.55,211.1,149.35,162.4,5.4402709255970025
451,HISARMETAL,125.0,128.4,131.75,143.25,114.4,80.55,5.439375705103934
288,EDELWEISS,77.25,77.65,81.25,98.7,59.9,54.4,5.437978863178651
1033,SOUTHBANK,9.45,9.6,10.2,10.4,8.05,6.55,5.436160569470454
1127,TIMETECHNO,68.95,71.7,70.85,82.55,77.55,38.85,5.433958468269418
459,HSCL,52.45,51.0,51.55,48.75,45.75,45.0,5.433791229319254
711,MAXIND,74.7,75.35,74.8,72.1,66.8,57.95,5.4334034687499075
540,ITC,226.85,236.7,235.35,208.6,202.75,173.95,5.432733710359573
1031,SORILINFRA,110.8,113.0,107.85,121.75,122.6,69.05,5.4263317420216435
