,SYMBOL
505,VAKRANGEE
506,VARDHACRLC
507,NPBET
508,SIGIND
509,DYNPRO
510,JKLAKSHMI
511,SETFNIFBK
512,MAN50ETF
513,GSPL
514,SKMEGGPROD
515,RANEHOLDIN
516,NITCO
517,KOTAKBKETF
518,FCL
519,SIMPLEXINF
520,WSTCSTPAPR
521,SBIN
522,SUVENPHAR
523,RAMANEWS
524,VIPIND
525,CAPLIPOINT
526,JKCEMENT
527,RATNAMANI
528,ICICIB22
529,ATULAUTO
530,DCMNVL
531,ICICIBANKN
532,KENNAMET
533,NILKAMAL
534,PNB
535,ABSLBANETF
536,STARCEMENT
537,GARFIBRES
538,CENTENKA
539,PFS
540,EQUITASBNK
541,BYKE
542,HCL-INSYS
543,JMFINANCIL
544,MMFL
545,TATAINVEST
546,GRASIM
547,UTIBANKETF
548,ESSARSHPNG
549,SUNDARMFIN
550,CASTROLIND
551,EIMCOELECO
552,JAGRAN
553,JBCHEPHARM
554,QUICKHEAL
555,ADANIENT
556,HAL
557,EIDPARRY
558,LT
559,VLSFINANCE
560,FCONSUMER
561,ASAHIINDIA
562,NAUKRI
563,NIITLTD
564,HATHWAY
565,MFSL
566,INDSWFTLAB
567,ADVANIHOTR
568,EBANK
569,UCOBANK
570,BRITANNIA
571,MORARJEE
572,SBIETFPB
573,HEIDELBERG
574,MAYURUNIQ
575,ALKYLAMINE
576,KMSUGAR
577,BAJAJ-AUTO
578,DAAWAT
579,AEGISCHEM
580,JINDRILL
581,MADRASFERT
582,ELGIRUBCO
583,NETFMID150
584,THOMASCOOK
585,KAJARIACER
586,SAKSOFT
587,UCALFUEL
588,NATCOPHARM
589,KANSAINER
590,IFBAGRO
591,GRPLTD
592,HUDCO
593,BASF
594,SRF
595,APOLLO
596,CELEBRITY
597,CIPLA
598,MUNJALAU
599,ABCAPITAL
600,UMANGDAIRY
601,USHAMART
602,GODREJAGRO
603,TAJGVK
604,ERIS
605,REVATHI
606,EMMBI
607,BALMLAWRIE
608,DPWIRES
609,PATINTLOG
610,SAKAR
611,ADANIPORTS
612,INDIANHUME
613,DHANBANK
614,VETO
615,DIVISLAB
616,SANDHAR
617,HSCL
618,TATACONSUM
619,PFIZER
620,AXISBNKETF
621,BHARATFORG
622,JKPAPER
623,HBANKETF
624,TFCILTD
625,OFSS
626,THYROCARE
627,RUCHIRA
628,SPAL
629,COCHINSHIP
630,IIFLSEC
631,SRIPIPES
632,FMNL
633,APOLSINHOT
634,KESORAMIND
635,JKTYRE
636,TATAMTRDVR
637,UTIAMC
638,JYOTHYLAB
639,TBZ
640,GALLISPAT
641,SEQUENT
642,SURYAROSNI
643,GALLANTT
644,ICICIGI
645,DBSTOCKBRO
646,SHILPAMED
647,TATACHEM
648,INFRABEES
649,SIYSIL
650,INDIACEM
651,PLASTIBLEN
652,PILANIINVS
653,TASTYBITE
654,IFGLEXPOR
655,RUBYMILLS
656,ICICIMCAP
657,ANIKINDS
658,MANINDS
659,ICICIBANKP
660,HERCULES
661,SUNPHARMA
662,CORALFINAC
663,ULTRACEMCO
664,PRIVISCL
665,VTL
666,CUMMINSIND
667,KAYA
668,DREDGECORP
669,ICICIM150
670,COROMANDEL
671,BANDHANBNK
672,SANCO
673,CONTROLPR
674,RML
675,STEELCITY
676,NIPPOBATRY
677,MIDHANI
678,VERTOZ
679,CENTRUM
680,EVERESTIND
681,EICHERMOT
682,CERA
683,JMA
684,SUPREMEIND
685,NTPC
686,LTI
687,MPHASIS
688,WELINV
689,JINDALSTEL
690,DHAMPURSUG
691,BIRLACORPN
692,GIPCL
693,RCOM
694,HERITGFOOD
695,COMPINFO
696,FLFL
697,HCLTECH
698,TATACOFFEE
699,SOMICONVEY
700,RIIL
701,ATUL
702,MOTILALOFS
703,TRIL
704,PTL
705,JCHAC
706,IEX
707,AARTIIND
708,NETF
709,PGEL
710,LALPATHLAB
711,ALLSEC
712,PITTIENG
713,VAISHALI
714,MANGALAM
715,SHANKARA
716,CEATLTD
717,SDBL
718,WHEELS
719,SUBROS
720,MAHABANK
721,STERTOOLS
722,SUNTECK
