,SYMBOL
408,JAMNAAUTO
304,GSCLCEMENT
472,KOTHARIPET
305,GSFC
320,HCL-INSYS
665,RADICO
210,DTIL
768,SPMLINFRA
921,WONDERLA
52,ASAHISONG
5,AARVEEDEN
273,GIPCL
897,VIVIDHA
738,SHARDAMOTR
898,VIVIMEDLAB
528,MAYURUNIQ
339,HINDPETRO
409,JAYAGROGN
564,NAHARCAP
194,DELTACORP
890,VHL
883,VASWANI
928,ZENSARTECH
402,IZMO
919,WIPRO
275,GLAXO
109,BFINVEST
552,MRO-TEK
599,NUCLEUS
582,NETWORK18
386,INOXWIND
806,TAJGVK
118,BINDALAGRO
31,ALMONDZ
759,SOBHA
913,WELINV
169,CONSOFINVT
715,SAKHTISUG
794,SURANAT&P
548,MOTILALOFS
718,SALSTEEL
892,VINATIORGA
40,APLAPOLLO
862,UBL
800,SWANENERGY
871,UNITEDTEA
72,AUTOAXLES
473,KOTHARIPRO
803,SYMPHONY
380,INDTERRAIN
851,TRIGYN
516,MANGALAM
558,MUNJALAU
775,STCINDIA
753,SKFINDIA
379,INDSWFTLAB
754,SKIPPER
556,MTNL
927,ZEELEARN
185,DATAMATICS
333,HIL
502,MADRASFERT
491,LPDC
446,KANSAINER
48,AROGRANITE
647,PPAP
642,POLYMED
155,CESC
4,AARTIIND
929,ZENTEC
47,ARIES
426,JKTYRE
857,TV18BRDCST
416,JINDALPOLY
881,VARDMNPOLY
563,NAGREEKEXP
85,BALAJITELE
113,BHARATGEAR
461,KMSUGAR
18,AGARIND
722,SANOFI
86,BALAMINES
812,TATACHEM
50,ARVIND
535,MHRIL
693,REPRO
237,EXCELINDUS
171,COROMANDEL
32,ALPHAGEO
743,SHREEPUSHK
923,XCHANGING
770,SRF
716,SAKSOFT
23,AKZOINDIA
54,ASHAPURMIN
611,ORIENTABRA
749,SILINV
303,GRPLTD
811,TARMAT
427,JMA
505,MAHINDCIE
176,CTE
643,POLYPLEX
117,BIL
262,GATI
127,BODALCHEM
24,ALANKIT
483,LCCINFOTEC
67,ATUL
878,VAIBHAVGBL
301,GREENPLY
381,INDUSINDBK
835,THOMASCOOK
745,SHREYAS
97,BANSWRAS
655,PROZONINTU
920,WOCKPHARMA
809,TANLA
578,NECLIFE
822,TBZ
675,RAMCOSYS
778,SUDARSCHEM
3,AARTIDRUGS
512,MANAKCOAT
691,RENUKA
432,JPPOWER
926,ZEEL
122,BLBLIMITED
607,ONMOBILE
674,RAMCOIND
802,SWELECTES
442,KAKATCEM
423,JKIL
364,IGPL
876,UTTAMSUGAR
619,PARSVNATH
650,PRAKASHSTL
620,PATELENG
162,CINEVISTA
549,MPHASIS
616,PAGEIND
141,CARBORUNIV
706,RTNPOWER
336,HINDCOMPOS
735,SHALPAINTS
697,RIIL
311,GUJAPOLLO
51,ASAHIINDIA
345,HNGSNGBEES
545,MONTECARLO
151,CENTURYPLY
734,SHAKTIPUMP
180,CYBERTECH
278,GLOBUSSPR
249,FMGOETZE
241,FCSSOFT
721,SANGHVIMOV
110,BFUTILITIE
464,KOLTEPATIL
909,WEBELSOLAR
314,HARRMALAYA
796,SURYAROSNI
98,BASF
99,BASML
587,NIBL
60,ASIANPAINT
58,ASHOKLEY
917,WHIRLPOOL
218,EKC
197,DHAMPURSUG
687,RELAXO
724,SARLAPOLY
349,HTMEDIA
318,HBLPOWER
534,MENONBE
57,ASHOKA
14,ADORWELD
63,ASTRAL
181,CYIENT
148,CENTENKA
542,MOHITIND
659,PUNJABCHEM
631,PGIL
225,EMKAY
501,MADHAV
313,GULFPETRO
480,LAMBODHARA
441,KAJARIACER
790,SUPERHOUSE
