,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
635,MASTEK,418.3,3185.05,3086.0,348.25,3119.0,1380.6,1.201148600143575
66,ARMANFIN,634.65,1121.1,932.0,529.3,839.2,528.85,1.1990364632533534
761,PIONEEREMB,29.55,57.0,51.25,24.65,62.4,41.8,1.1987829614604464
808,RAYMOND,668.9,875.85,702.6,558.25,459.0,315.9,1.1982086878638603
573,KPRMILL,658.45,672.3,614.0,549.85,425.25,1220.4,1.1975084113849233
519,JOCIL,108.5,215.55,166.65,90.65,226.95,160.4,1.1969111969111967
1000,TIMKEN,922.0,2147.4,2065.1,770.35,1694.95,1361.7,1.1968585707795159
756,PHOENIXLTD,832.7,1096.55,991.3,697.45,958.45,688.4,1.1939207111620904
199,COCHINSHIP,402.85,327.9,304.6,337.7,362.85,349.95,1.1929227124666866
965,TATACOFFEE,92.1,222.3,200.2,77.25,203.55,115.8,1.1922330097087377
852,SANOFI,7006.0,7849.0,7425.6,5878.65,7799.8,7682.05,1.1917702193530828
1015,TRIVENI,71.15,341.3,329.0,59.75,185.05,108.4,1.190794979079498
417,HSIL,48.6,328.25,318.6,40.85,232.05,144.8,1.189718482252142
524,JSLHISAR,75.65,389.85,344.5,63.6,288.6,148.65,1.1894654088050316
518,JMFINANCIL,94.2,70.4,65.5,79.25,92.55,79.55,1.1886435331230285
113,BALRAMCHIN,183.4,511.05,485.5,154.45,366.5,250.45,1.1874393007445776
77,ASHOKLEY,81.5,129.15,115.5,68.7,133.8,112.85,1.1863173216885006
749,PFC,117.9,121.85,112.45,99.4,142.1,105.55,1.1861167002012072
1,21STCENMGM,15.3,29.65,26.55,12.9,48.25,11.9,1.186046511627907
132,BERGEPAINT,515.55,734.6,705.8,434.8,809.0,709.5,1.185717571297148
772,POLYPLEX,510.15,2697.8,2073.7,430.65,1727.3,880.4,1.184604667363288
447,IEX,142.8,241.05,222.75,120.65,645.95,352.8,1.1835888934935765
747,PERSISTENT,674.15,4710.9,4428.45,569.95,3716.3,1906.7,1.182823054653917
35,ALEMBICLTD,59.6,85.2,81.2,50.65,115.2,105.05,1.1767028627838105
929,STAR,361.95,380.1,329.4,307.7,589.5,901.5,1.1763080922976925
356,GRANULES,123.1,314.45,306.2,104.7,320.35,334.55,1.1757402101241643
381,HCC,10.05,18.35,14.95,8.55,9.65,7.4,1.175438596491228
526,JSWSTEEL,270.05,756.6,655.25,229.95,668.3,620.6,1.1743857360295717
223,DALMIASUG,104.6,527.25,502.0,89.2,412.45,225.35,1.1726457399103138
660,MOTILALOFS,759.45,914.5,831.75,647.65,858.75,582.7,1.1726241025245119
234,DELTACORP,198.05,328.45,283.05,168.9,263.3,146.4,1.1725873297809355
708,NITCO,29.95,26.85,24.2,25.55,22.75,18.35,1.172211350293542
782,PRESTIGE,338.35,516.4,459.8,288.8,490.85,275.1,1.171572022160665
1050,VASCONEQ,14.05,27.6,24.85,12.0,25.3,15.75,1.1708333333333334
139,BHARATGEAR,79.95,154.85,147.65,68.35,141.45,73.2,1.1697147037307976
374,GULFPETRO,44.9,52.25,50.1,38.4,55.1,36.2,1.1692708333333333
211,CREDITACC,767.95,923.05,766.65,657.1,636.45,562.85,1.1686957845076853
646,MGL,1065.2,828.8,768.85,911.7,1082.65,1076.35,1.1683667873203905
461,INDIAMART,2065.95,4924.5,4464.6,1769.05,8378.9,7764.4,1.1678301913456375
609,MAHABANK,12.9,18.8,17.9,11.05,20.05,22.7,1.1674208144796379
441,IDBI,37.0,47.55,43.35,31.75,46.3,34.0,1.1653543307086613
415,HONDAPOWER,1224.35,1263.4,1231.9,1051.5,1258.5,931.2,1.164384213029006
1088,WESTLIFE,343.2,497.05,473.45,294.85,566.3,421.65,1.1639816856028489
818,RELIGARE,42.35,133.8,112.8,36.4,177.55,89.55,1.1634615384615385
909,SOLARA,434.8,785.65,710.15,373.95,1599.6,1452.7,1.1627222890760798
812,RECLTD,143.1,133.8,123.4,123.15,157.85,125.6,1.1619975639464066
34,ALBERTDAVD,408.4,598.55,533.2,351.9,601.25,432.85,1.160556976413754
333,GLAXO,1610.3,1616.05,1572.2,1389.45,1480.75,1436.1,1.1589477850948215
599,LTI,1750.5,6153.2,6025.7,1511.25,5765.15,3969.25,1.1583126550868486
307,GABRIEL,122.8,123.45,120.5,106.15,153.65,103.45,1.1568535091851153
707,NIPPOBATRY,532.45,413.95,410.05,460.5,976.7,756.0,1.156243213897937
476,INOXLEISUR,382.35,504.9,408.3,330.75,393.25,266.0,1.1560090702947847
807,RATNAMANI,1093.9,2445.0,2223.8,948.2,2186.35,1922.0,1.1536595654925121
