,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
829,INVENTURE,EQ,26.15,26.8,24.25,24.6,24.6,26.15,93341,2380059.25,20-APR-2021,862,INE878H01016
830,IOB,EQ,16.4,16.75,15.9,16.15,16.15,16.15,14412009,234452838.1,20-APR-2021,11864,INE565A01014
831,IOC,EQ,88.35,90.0,87.35,87.8,88.0,88.1,10866044,960460393.15,20-APR-2021,46206,INE242A01010
832,IOLCP,EQ,572.5,617.0,570.5,594.2,592.0,565.45,2064440,1230636578.2,20-APR-2021,60516,INE485C01011
833,IPCALAB,EQ,2200.0,2202.05,2139.8,2155.7,2152.0,2173.55,231993,502976709.8,20-APR-2021,20901,INE571A01020
834,IRB,EQ,102.5,104.5,102.5,103.95,104.3,101.9,441578,45856423.6,20-APR-2021,4371,INE821I01014
836,IRCON,EQ,87.3,87.85,86.75,87.0,87.1,87.0,644203,56120721.4,20-APR-2021,4191,INE962Y01021
837,IRCTC,EQ,1616.0,1648.95,1616.0,1640.05,1635.55,1612.7,1143229,1873038874.2,20-APR-2021,45580,INE335Y01012
841,IRFC,EQ,21.15,21.65,21.1,21.25,21.25,21.15,12199610,261044257.7,20-APR-2021,19622,INE053F01010
853,IRISDOREME,EQ,90.55,94.0,90.0,93.0,93.4,88.6,11487,1045849.85,20-APR-2021,112,INE01GN01017
854,ISEC,EQ,415.2,428.8,414.2,424.6,425.0,410.1,1540584,652958388.15,20-APR-2021,31692,INE763G01038
855,ISFT,EQ,95.0,96.6,87.4,88.45,91.8,92.0,144712,13355513.5,20-APR-2021,1376,INE566K01011
856,ISMTLTD,EQ,9.85,10.2,9.65,9.8,9.75,10.05,48803,477962.2,20-APR-2021,149,INE732F01019
857,ITC,EQ,206.2,207.0,202.5,203.55,203.15,205.6,21364882,4372413102.0,20-APR-2021,158567,INE154A01025
858,ITDC,EQ,317.0,323.75,313.5,314.2,313.55,317.1,37651,12007130.45,20-APR-2021,1668,INE353K01014
859,ITDCEM,EQ,72.5,79.4,72.5,73.75,73.25,71.95,737047,55385335.3,20-APR-2021,7599,INE686A01026
860,ITI,EQ,104.0,105.5,103.5,103.85,103.75,102.8,214273,22382632.15,20-APR-2021,3069,INE248A01017
861,IVC,EQ,4.5,5.4,4.25,5.05,5.15,4.5,1326196,6692472.95,20-APR-2021,1662,INE050B01023
863,IVZINGOLD,EQ,4300.0,4300.0,4236.0,4263.85,4265.0,4315.7,104,444519.95,20-APR-2021,33,INF205K01361
864,IVZINNIFTY,EQ,1549.0,1549.0,1537.3,1537.3,1537.3,1556.6,3,4635.25,20-APR-2021,3,INF205K01DA9
865,IZMO,EQ,68.0,70.9,64.2,64.45,64.75,67.55,97245,6411437.85,20-APR-2021,1464,INE848A01014
866,J&KBANK,EQ,23.45,23.7,23.15,23.2,23.25,22.95,1184774,27676836.75,20-APR-2021,4191,INE168A01041
867,JAGRAN,EQ,57.5,58.15,57.1,57.6,57.9,57.2,176133,10141383.85,20-APR-2021,1205,INE199G01027
868,JAGSNPHARM,EQ,79.5,93.95,79.2,92.75,92.0,78.3,1449818,128997209.95,20-APR-2021,11576,INE048B01027
870,JAICORPLTD,EQ,82.5,83.2,80.15,81.15,81.0,81.3,426207,34901044.55,20-APR-2021,4055,INE070D01027
872,JAMNAAUTO,EQ,62.2,67.4,62.2,66.45,66.5,61.9,1146663,74641357.95,20-APR-2021,9287,INE039C01032
873,JASH,EQ,328.25,334.65,320.4,324.0,330.0,326.3,9038,2957202.5,20-APR-2021,601,INE039O01011
874,JAYAGROGN,EQ,133.9,134.8,130.6,132.1,132.2,132.9,6826,906263.4,20-APR-2021,451,INE785A01026
875,JAYBARMARU,EQ,202.95,206.05,197.15,200.65,201.0,201.15,13543,2731375.05,20-APR-2021,441,INE571B01028
876,JAYNECOIND,EQ,12.4,12.75,12.25,12.25,12.25,12.85,380114,4710671.75,20-APR-2021,334,INE854B01010
877,JAYSREETEA,EQ,67.95,70.5,66.55,66.9,66.65,66.85,183452,12538233.8,20-APR-2021,2719,INE364A01020
878,JBCHEPHARM,EQ,1294.0,1324.5,1276.0,1290.5,1285.0,1264.45,399050,517786424.4,20-APR-2021,21154,INE572A01028
879,JBFIND,EQ,21.55,21.55,21.55,21.55,21.55,20.55,39547,852237.85,20-APR-2021,90,INE187A01017
880,JBMA,EQ,348.1,356.8,340.2,342.05,340.2,346.6,18294,6362104.3,20-APR-2021,1181,INE927D01028
881,JCHAC,EQ,2491.5,2519.0,2405.0,2429.15,2435.5,2482.25,9305,22912889.95,20-APR-2021,1866,INE782A01015
886,JINDALPOLY,EQ,730.0,759.0,725.8,734.05,735.0,723.2,53374,39853615.25,20-APR-2021,7280,INE197D01010
887,JINDALSAW,EQ,73.4,74.7,72.0,72.7,72.5,72.7,764610,56182120.2,20-APR-2021,6318,INE324A01024
888,JINDALSTEL,EQ,419.0,436.9,418.0,431.55,430.85,413.8,19220825,8211827450.25,20-APR-2021,153086,INE749A01030
889,JINDRILL,EQ,90.1,91.95,88.15,89.65,90.5,89.6,14491,1303696.6,20-APR-2021,495,INE742C01031
890,JINDWORLD,EQ,46.7,46.7,44.45,45.1,45.4,44.65,156079,7086943.85,20-APR-2021,915,INE247D01039
892,JISLJALEQS,EQ,16.0,17.25,16.0,16.55,16.65,16.45,3237468,54113966.0,20-APR-2021,4123,INE175A01038
895,JKCEMENT,EQ,2928.95,2967.6,2831.0,2859.0,2854.9,2901.45,43196,123851141.1,20-APR-2021,7297,INE823G01014
896,JKIL,EQ,174.05,183.5,174.05,178.9,181.0,173.5,157981,28495964.6,20-APR-2021,7528,INE576I01022
897,JKLAKSHMI,EQ,403.7,413.7,398.55,400.25,400.9,395.35,329449,133404969.75,20-APR-2021,9069,INE786A01032
898,JKPAPER,EQ,128.0,130.0,127.6,128.75,128.5,127.7,484367,62401399.3,20-APR-2021,4813,INE789E01012
899,JKTYRE,EQ,106.5,111.0,106.0,107.05,106.1,105.9,566439,61547335.95,20-APR-2021,6814,INE573A01042
900,JMA,EQ,36.35,38.8,36.35,37.35,37.3,37.05,5678,213560.45,20-APR-2021,90,INE412C01023
901,JMCPROJECT,EQ,76.45,78.75,75.85,76.3,76.75,75.1,255832,19807660.05,20-APR-2021,3206,INE890A01024
902,JMFINANCIL,EQ,77.4,81.0,77.4,79.55,79.2,76.95,629415,49705898.7,20-APR-2021,6419,INE780C01023
904,JOCIL,EQ,162.0,167.85,157.95,160.4,159.95,159.1,36714,6028376.8,20-APR-2021,828,INE839G01010
905,JPASSOCIAT,EQ,6.95,7.15,6.8,6.85,6.85,6.85,5032889,34845644.5,20-APR-2021,15844,INE455F01025
906,JPINFRATEC,EQ,1.5,1.55,1.5,1.5,1.5,1.55,1582304,2379917.45,20-APR-2021,847,INE099J01015
907,JPPOWER,EQ,2.95,3.1,2.9,2.95,2.95,2.9,16502082,49602664.25,20-APR-2021,6048,INE351F01018
908,JSL,EQ,77.9,78.65,75.1,75.85,75.3,74.8,854000,65752648.7,20-APR-2021,10952,INE220G01021
909,JSLHISAR,EQ,148.85,149.9,144.5,148.65,148.45,144.65,711442,104924989.3,20-APR-2021,12877,INE455T01018
910,JSWENERGY,EQ,102.0,104.7,99.1,100.8,99.9,100.25,10999733,1123490342.05,20-APR-2021,49865,INE121E01018
911,JSWHL,EQ,3907.3,3961.75,3851.0,3886.5,3851.0,3896.35,47697,187549869.1,20-APR-2021,416,INE824G01012
912,JSWISPL,EQ,31.5,32.95,31.5,32.95,32.95,31.4,1196503,39333966.2,20-APR-2021,1604,INE743C01021
913,JSWSTEEL,EQ,622.8,630.0,613.4,620.6,619.45,615.8,13626064,8473799701.55,20-APR-2021,135037,INE019A01038
914,JTEKTINDIA,EQ,82.95,83.95,81.05,81.8,81.9,82.0,115621,9555771.15,20-APR-2021,2041,INE643A01035
915,JUBLFOOD,EQ,2814.8,2870.0,2793.05,2830.15,2841.5,2780.35,630248,1789462021.75,20-APR-2021,41754,INE797F01012
916,JUBLINDS,EQ,195.5,208.0,195.05,206.05,205.55,194.75,48368,9864436.1,20-APR-2021,1234,INE645L01011
