,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1804,TVTODAY,EQ,198.25,205.9,198.25,203.25,203.0,199.05,33521,6809129.9,31-JUL-2020,892,INE038F01029
1806,TWL,EQ,39.55,39.9,38.7,39.05,39.15,39.75,107494,4199284.6,31-JUL-2020,1207,INE615H01020
1807,UBL,EQ,970.0,972.9,948.15,951.65,956.05,965.05,563284,538705028.15,31-JUL-2020,14636,INE686F01025
1808,UCALFUEL,EQ,133.0,133.5,125.1,127.5,125.3,125.75,409424,52771645.05,31-JUL-2020,7667,INE139B01016
1809,UCOBANK,EQ,14.35,15.45,14.0,14.05,14.0,14.2,21192813,310140479.1,31-JUL-2020,23285,INE691A01018
1810,UFLEX,EQ,266.95,270.6,262.55,265.5,265.0,261.8,120161,31995664.3,31-JUL-2020,2583,INE516A01017
1811,UFO,EQ,69.95,70.0,66.8,67.1,67.4,69.2,288477,19577133.45,31-JUL-2020,3010,INE527H01019
1812,UGARSUGAR,EQ,13.6,13.65,13.45,13.45,13.5,13.65,49124,664074.75,31-JUL-2020,278,INE071E01023
1813,UJAAS,EQ,5.2,5.2,5.2,5.2,5.2,5.45,161506,839831.2,31-JUL-2020,270,INE899L01022
1814,UJJIVAN,EQ,232.5,238.95,228.0,235.85,236.4,232.75,4247349,994826891.15,31-JUL-2020,34623,INE334L01012
1815,UJJIVANSFB,EQ,34.4,34.95,33.3,34.4,34.85,34.0,1059521,36103672.45,31-JUL-2020,4251,INE551W01018
1816,ULTRACEMCO,EQ,4159.95,4209.0,4092.5,4117.3,4129.6,4155.55,413669,1712585410.15,31-JUL-2020,36719,INE481G01011
1818,UNICHEMLAB,EQ,217.0,237.15,214.3,235.1,236.25,213.6,825706,188851651.6,31-JUL-2020,14993,INE351A01035
1819,UNIENTER,EQ,61.45,63.2,61.0,62.8,61.35,61.15,15727,977461.8,31-JUL-2020,277,INE037A01022
1821,UNIONBANK,EQ,29.0,29.35,28.8,29.0,29.05,29.3,2359590,68508398.4,31-JUL-2020,6399,INE692A01016
1822,UNIPLY,EQ,5.25,5.5,5.15,5.4,5.4,5.25,616132,3322872.4,31-JUL-2020,830,INE950G01023
1824,UNITEDTEA,EQ,325.05,329.7,312.0,314.1,312.0,325.05,13998,4431522.15,31-JUL-2020,470,INE458F01011
1826,UNIVASTU,EQ,32.8,33.9,30.55,32.1,32.65,32.8,5165,164177.5,31-JUL-2020,68,INE562X01013
1827,UNIVCABLES,EQ,114.75,114.75,107.0,107.55,107.9,110.6,19804,2164639.3,31-JUL-2020,635,INE279A01012
1828,UNIVPHOTO,EQ,163.35,163.35,163.35,163.35,163.35,155.6,3054,498870.9,31-JUL-2020,44,INE03V001013
1829,UPL,EQ,467.85,486.0,460.25,478.15,477.8,464.6,11062532,5260198073.75,31-JUL-2020,144249,INE628A01036
1831,USHAMART,EQ,18.85,18.85,18.2,18.4,18.45,18.8,274417,5062623.3,31-JUL-2020,886,INE228A01035
1832,UTINEXT50,EQ,269.99,273.0,267.65,272.87,272.87,268.88,1066,289286.01,31-JUL-2020,25,INF789FC1N82
1833,UTINIFTETF,EQ,1184.51,1188.7,1176.4,1184.08,1185.45,1177.3,204,241241.48,31-JUL-2020,28,INF789FB1X41
1834,UTISENSETF,EQ,409.89,409.89,396.0,397.98,396.0,400.3,290,116512.48,31-JUL-2020,39,INF789FB1X58
1836,UTTAMSUGAR,EQ,72.5,73.65,71.1,73.25,73.5,72.25,23323,1683963.35,31-JUL-2020,705,INE786F01031
1838,V2RETAIL,EQ,45.1,46.15,45.0,45.65,45.25,45.55,73598,3339135.3,31-JUL-2020,870,INE945H01013
1839,VADILALIND,EQ,600.0,614.0,599.95,602.95,604.9,599.0,13307,8078487.5,31-JUL-2020,1304,INE694D01016
1840,VAIBHAVGBL,EQ,1366.0,1370.3,1335.0,1338.4,1335.35,1335.1,38188,51504630.75,31-JUL-2020,2179,INE884A01019
1841,VAISHALI,EQ,43.0,43.0,40.3,41.35,42.9,43.0,13340,550409.55,31-JUL-2020,201,INE972X01014
1842,VAKRANGEE,EQ,28.1,29.25,27.7,28.25,28.3,28.6,2162678,61375239.35,31-JUL-2020,5008,INE051B01021
1843,VARDHACRLC,EQ,28.3,29.3,28.1,28.25,28.15,28.7,27954,795733.7,31-JUL-2020,211,INE116G01013
1845,VARROC,EQ,197.95,203.0,192.0,196.55,197.25,196.6,144808,28538225.25,31-JUL-2020,2883,INE665L01035
1846,VASCONEQ,EQ,8.55,8.55,8.05,8.2,8.2,8.45,151078,1252681.5,31-JUL-2020,317,INE893I01013
1848,VBL,EQ,689.1,714.4,689.1,708.1,708.5,682.75,187253,132080148.4,31-JUL-2020,6239,INE200M01013
1849,VEDL,EQ,112.0,115.2,111.8,113.8,113.55,110.9,27621967,3135181406.5,31-JUL-2020,101664,INE205A01025
1850,VENKEYS,EQ,1060.05,1065.0,1037.0,1044.7,1044.0,1059.35,40702,42583255.8,31-JUL-2020,3281,INE398A01010
1852,VERTOZ,EQ,118.3,121.95,116.5,116.85,118.85,118.0,21385,2506109.25,31-JUL-2020,147,INE188Y01015
1853,VESUVIUS,EQ,870.05,873.0,863.0,866.95,867.0,865.5,988,856363.95,31-JUL-2020,84,INE386A01015
